Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2021-07-12,279.1600,279.7700,276.5800,277.3200,268.7600,18931700
MSFT,2021-07-09,275.7200,278.0500,275.3200,277.9400,269.3600,23916700
MSFT,2021-07-08,276.9000,278.7300,274.8700,277.4200,268.8600,24618600
MSFT,2021-07-07,279.4000,280.6900,277.1500,279.9300,271.2900,23260031
MSFT,2021-07-06,278.0300,279.3700,274.3000,277.6600,269.0900,31565600
MSFT,2021-07-02,272.8200,278.0000,272.5000,277.6500,269.0800,26474408
MSFT,2021-07-01,269.6100,271.8400,269.6000,271.6000,263.2200,16725323
MSFT,2021-06-30,270.6900,271.3600,269.6000,270.9000,262.5400,21656500
MSFT,2021-06-29,268.8700,271.6500,267.9800,271.4000,263.0200,19937811
MSFT,2021-06-28,266.1900,268.9000,265.9100,268.7200,260.4300,19590024
MSFT,2021-06-25,266.2300,267.2500,264.7600,265.0200,256.8400,25611113
MSFT,2021-06-24,266.1600,267.8500,265.4700,266.6900,258.4600,21446900
MSFT,2021-06-23,265.9900,266.8300,264.4300,265.2700,257.0900,19518700
MSFT,2021-06-22,262.7200,265.7900,262.4000,265.5100,257.3200,24694100
MSFT,2021-06-21,259.8200,263.5200,257.9200,262.6300,254.5200,26696119
MSFT,2021-06-18,259.6300,262.3000,258.7500,259.4300,251.4200,37202217
MSFT,2021-06-17,256.0700,261.7500,256.0100,260.9000,252.8500,27565537
MSFT,2021-06-16,259.4000,260.5800,254.4200,257.3800,249.4400,27220000
MSFT,2021-06-15,259.7700,259.9900,257.6800,258.3600,250.3900,18038931
MSFT,2021-06-14,257.9000,259.9500,256.8000,259.8900,251.8700,19150507
MSFT,2021-06-11,257.9900,258.4900,256.6100,257.8900,249.9300,18999731
MSFT,2021-06-10,254.2900,257.4600,253.6700,257.2400,249.3000,24563619
MSFT,2021-06-09,253.8100,255.5300,253.2100,253.5900,245.7600,17937634
MSFT,2021-06-08,255.1600,256.0100,252.5100,252.5700,244.7800,22455000
MSFT,2021-06-07,249.9800,254.0900,249.8100,253.8100,245.9800,23079200
MSFT,2021-06-04,247.7600,251.6500,247.5100,250.7900,243.0500,25281100
MSFT,2021-06-03,245.2200,246.3400,243.0000,245.7100,238.1300,25307711
MSFT,2021-06-02,248.1300,249.2700,245.8400,247.3000,239.6700,19406705
MSFT,2021-06-01,251.2300,251.2900,246.9600,247.4000,239.7600,23213310
MSFT,2021-05-28,251.0000,252.0800,249.5600,249.6800,241.9700,18274942
MSFT,2021-05-27,251.1700,251.4800,249.2500,249.3100,241.6200,24426244
MSFT,2021-05-26,251.4300,252.9400,250.7500,251.4900,243.7300,17771600
MSFT,2021-05-25,251.7700,252.7500,250.8200,251.7200,243.9500,17704303
MSFT,2021-05-24,247.7900,251.1600,247.5100,250.7800,243.0400,21411547
MSFT,2021-05-21,247.5700,248.3300,244.7400,245.1700,237.6000,21863100
MSFT,2021-05-20,243.9600,247.9500,243.8600,246.4800,238.8700,21800716
MSFT,2021-05-19,239.3100,243.2300,238.6000,243.1200,235.6200,25739807
MSFT,2021-05-18,246.2700,246.4100,242.9000,243.0800,235.0400,20168000
MSFT,2021-05-17,246.5500,246.5900,243.5200,245.1800,237.0700,24970200
MSFT,2021-05-14,245.5800,249.1800,245.4900,248.1500,239.9400,23901100
MSFT,2021-05-13,241.8000,245.6000,241.4200,243.0300,234.9900,29624300
MSFT,2021-05-12,242.1700,244.3800,238.0700,239.0000,231.0900,36684400
MSFT,2021-05-11,244.5500,246.6000,242.5700,246.2300,238.0800,33641600
MSFT,2021-05-10,250.8700,251.7300,247.1200,247.1800,239.0000,29299900
MSFT,2021-05-07,252.1500,254.3000,251.1700,252.4600,244.1100,27032912
MSFT,2021-05-06,246.4500,249.8600,244.6900,249.7300,241.4700,26491100
MSFT,2021-05-05,249.0600,249.5000,245.8200,246.4700,238.3100,21901325
MSFT,2021-05-04,250.9700,251.2100,245.7600,247.7900,239.5900,32756100
MSFT,2021-05-03,253.4000,254.3500,251.1200,251.8600,243.5200,19626600
MSFT,2021-04-30,249.7400,253.0800,249.6000,252.1800,243.8300,30945100
MSFT,2021-04-29,255.4600,256.1000,249.0000,252.5100,244.1500,40589023
MSFT,2021-04-28,256.0800,256.5400,252.9500,254.5600,246.1400,46903119
MSFT,2021-04-27,261.5800,263.1900,260.1200,261.9700,253.3000,31014213
MSFT,2021-04-26,261.6600,262.4400,260.1700,261.5500,252.8900,19763346
MSFT,2021-04-23,257.8800,261.5100,257.2700,261.1500,252.5100,21499286
MSFT,2021-04-22,260.2100,261.7800,255.6400,257.1700,248.6600,25606200
MSFT,2021-04-21,258.9400,260.6800,257.2500,260.5800,251.9600,24030400
MSFT,2021-04-20,257.8200,260.2000,256.8400,258.2600,249.7100,19722900
MSFT,2021-04-19,260.1900,261.4800,257.8200,258.7400,250.1800,23209300
MSFT,2021-04-16,259.4700,261.0000,257.6000,260.7400,252.1100,24878600
MSFT,2021-04-15,257.9300,259.9300,257.7300,259.5000,250.9100,25627500
MSFT,2021-04-14,257.4800,258.8300,255.1600,255.5900,247.1300,23070938
MSFT,2021-04-13,257.2600,259.1900,256.8300,258.4900,249.9400,23837500
MSFT,2021-04-12,254.7100,257.6700,254.6200,255.9100,247.4400,27148700
MSFT,2021-04-09,252.8700,255.9900,252.4400,255.8500,247.3800,24326833
MSFT,2021-04-08,252.7700,254.1400,252.0000,253.2500,244.8700,23625200
MSFT,2021-04-07,247.8100,250.9300,247.1900,249.9000,241.6300,22719835
MSFT,2021-04-06,247.6100,249.4000,246.8800,247.8600,239.6600,22931923
MSFT,2021-04-05,242.7600,249.9600,242.7000,249.0700,240.8300,36910609
MSFT,2021-04-01,238.4700,242.8400,238.0500,242.3500,234.3300,30338000
MSFT,2021-03-31,232.9100,239.1000,232.3900,235.7700,227.9700,43623500
MSFT,2021-03-30,233.5300,233.8500,231.1000,231.8500,224.1800,24792012
MSFT,2021-03-29,236.5900,236.8000,231.8800,235.2400,227.4500,25227500
MSFT,2021-03-26,231.5500,236.7100,231.5500,236.4800,228.6500,25479900
MSFT,2021-03-25,235.3000,236.9400,231.5700,232.3400,224.6500,34061900
MSFT,2021-03-24,237.8500,238.0000,235.3200,235.4600,227.6700,25620127
MSFT,2021-03-23,237.4900,241.0500,237.0700,237.5800,229.7200,31638400
MSFT,2021-03-22,230.2700,236.9000,230.1400,235.9900,228.1800,30127005
MSFT,2021-03-19,231.0200,232.4700,229.3500,230.3500,222.7300,46430730
MSFT,2021-03-18,232.5600,234.1900,230.3300,230.7200,223.0800,34852251
